Entity,Code_x,Year, Engaged in religious/spiritual activities when anxious/depressed,Improved healthy lifestyle behaviors when anxious/depressed,Made a change to work situation when anxious/depressed,Made a change to personal relationships when anxious/depressed,Talked to friends or family when anxious/depressed,Took prescribed medication when anxious/depressed,Spent time in nature/the outdoors when anxious/depressed ,Talked to mental health professional when anxious/depressed,Code_y,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Croatia,HRV,2020,27.312744,74.327934,33.21104,65.00948,87.80805,70.84487,81.677895,64.088554,HRV,,26950.719,4096872.0,
Cyprus,CYP,2020,44.293118,69.99197,38.226036,50.989826,78.24367,28.826624,73.2286,56.159966,CYP,,39471.582,1237540.0,
Czechia,CZE,2020,15.820781,66.858055,47.527622,57.186417,78.785194,54.377163,82.29169,69.31126,CZE,,38639.98,10530951.0,
Denmark,DNK,2020,16.050905,57.74685,48.82349,45.717518,76.89948,52.795513,78.06546,75.282425,DNK,,55518.598,5825638.0,
Dominican Republic,DOM,2020,69.43944,76.3712,69.91374,77.95735,89.972916,39.4342,80.90873,38.403286,DOM,,16768.426,10999668.0,
Ecuador,ECU,2020,60.168716,88.759445,72.82648,85.87918,87.61079,51.58834,83.09851,54.595337,ECU,,10356.975,17588596.0,
Egypt,EGY,2020,50.724014,44.86046,25.952017,53.46195,72.08198,15.95659,47.67112,7.1438456,EGY,,11380.847,107465128.0,
El Salvador,SLV,2020,73.4358,80.8065,74.29682,77.660355,83.997345,63.724495,83.39334,46.754635,SLV,,8267.251,6292734.0,
Estonia,EST,2020,13.352501,62.430256,43.577805,51.76033,74.37608,61.259014,79.68081,59.754574,EST,,35883.266,1329449.0,
Ethiopia,ETH,2020,66.57121,62.9166,57.021492,74.69701,72.80364,28.758259,51.51885,25.622267,ETH,,2253.2358,117190920.0,
Finland,FIN,2020,11.135731,69.24617,48.76859,49.452408,85.083595,62.72813,78.077644,83.76853,FIN,,47443.902,5529468.0,
France,FRA,2020,17.190386,57.659435,46.33427,54.21385,71.624275,74.54138,75.21356,64.341225,FRA,,42233.14,64480052.0,
Gabon,GAB,2020,70.82588,79.61103,40.49048,63.391388,82.5198,44.71403,54.090183,22.027765,GAB,,13903.289,2292583.0,
Georgia,GEO,2020,44.799385,68.189186,45.724995,53.831985,85.06311,56.773544,77.76093,26.66816,GEO,,13966.326,3765912.0,
Germany,DEU,2020,12.392033,82.49715,48.04778,55.287243,87.444565,63.503086,81.20086,72.77237,DEU,,51840.33,83328992.0,
Ghana,GHA,2020,57.636757,60.869633,42.700703,56.74458,67.62067,26.98448,50.234814,17.928251,GHA,,5263.5264,32180402.0,
Greece,GRC,2020,27.453985,67.76728,45.388798,50.92366,77.88381,41.507545,59.645454,49.91992,GRC,,27103.541,10512232.0,
Guinea,GIN,2020,55.93042,61.00395,55.534122,57.176514,79.842705,65.84057,63.37154,52.08458,GIN,,2604.1172,13205157.0,
High-income countries,,2020,33.53107,73.40408,50.210964,57.540028,79.206436,64.425446,78.08823,67.60664,,,47614.09,1218093003.0,
Hong Kong,HKG,2020,34.004066,74.467674,41.836918,49.445797,71.51011,49.401466,63.91061,55.96541,HKG,,55888.688,7500955.0,
Hungary,HUN,2020,26.657217,62.082047,46.1428,55.37301,70.5068,45.364056,77.88779,63.681328,HUN,,31231.596,9750571.0,
India,IND,2020,46.679382,77.59706,65.319916,64.66976,82.82279,56.84162,71.74699,48.53677,IND,,6114.0317,1396387072.0,
Indonesia,IDN,2020,72.98657,84.935394,68.29369,80.767746,84.52044,45.8359,80.834015,43.486214,IDN,,11515.74,271857984.0,
Iran,IRN,2020,56.264618,61.33049,29.92804,61.065655,79.12761,45.45148,69.385574,40.354855,IRN,,14432.362,87290192.0,
Iraq,IRQ,2020,30.957253,52.957485,32.60856,52.612537,76.73829,32.616188,64.90544,15.225221,IRQ,,8919.798,42556988.0,
Ireland,IRL,2020,59.227043,72.094185,51.98287,58.739597,82.88917,63.34675,82.38494,69.08606,IRL,,91099.75,4946123.0,
Italy,ITA,2020,37.18426,76.4891,54.5747,55.139214,85.10426,62.11947,84.97651,74.57626,ITA,,39065.28,59500576.0,
Jordan,JOR,2020,31.091248,41.178677,21.947979,50.68966,67.017586,28.47173,61.035038,17.095291,JOR,,9203.376,10928723.0,
